"년월","시군구","인원"
"2023-05","서울시 용산구","130"
"2023-05","서울시 은평구","306"
"2023-05","서울시 종로구","1688"
"2023-05","서울시 중구","142"
"2023-05","서울시 중랑구","509"
"2023-05","세종 세종시","123"
"2023-05","울산시 남구","2250"
"2023-05","울산시 동구","122"
"2023-05","울산시 북구","200"
"2023-05","울산시 울주군","198"
"2023-05","울산시 중구","221"
"2023-05","인천시 강화군","122"
"2023-05","인천시 계양구","428"
"2023-05","인천시 남동구","79"
"2023-05","인천시 동구","856"
"2023-05","인천시 미추홀구","789"
"2023-05","인천시 부평구","803"
"2023-05","인천시 서구","5"
"2023-05","인천시 연수구","10"
"2023-05","인천시 옹진군","13"
"2023-05","전남 강진군","84"
"2023-05","전남 고흥군","155"
"2023-05","전남 곡성군","36"
"2023-05","전남 광양시","171"
"2023-05","전남 구례군","71"
"2023-05","전남 나주시","237"
"2023-05","전남 담양군","76"
"2023-05","전남 목포시","862"
"2023-05","전남 무안군","233"
"2023-05","전남 보성군","109"
"2023-05","전남 순천시","985"
"2023-05","전남 신안군","23"
"2023-05","전남 여수시","574"
"2023-05","전남 영광군","169"
"2023-05","전남 영암군","63"
"2023-05","전남 완도군","80"
"2023-05","전남 장성군","44"
"2023-05","전남 장흥군","96"
"2023-05","전남 진도군","63"
"2023-05","전남 함평군","47"
"2023-05","전남 해남군","305"
"2023-05","전남 화순군","117"
"2023-05","전북 고창군","114"
"2023-05","전북 군산시","712"
"2023-05","전북 김제시","157"
"2023-05","전북 남원시","156"
"2023-05","전북 무주군","42"
"2023-05","전북 부안군","101"
"2023-05","전북 순창군","35"
"2023-05","전북 완주군","85"
"2023-05","전북 익산시","597"
"2023-05","전북 임실군","17"
"2023-05","전북 장수군","25"
"2023-05","전북 전주시","2783"
"2023-05","전북 정읍시","211"
"2023-05","전북 진안군","61"
"2023-05","제주도 서귀포시","221"
"2023-05","제주도 제주시","886"
"2023-05","충남 계룡시","52"
"2023-05","충남 공주시","128"
"2023-05","충남 금산군","79"
"2023-05","충남 논산시","311"
"2023-05","충남 당진시","157"
"2023-05","충남 보령시","129"
"2023-05","충남 부여군","66"
"2023-05","충남 서산시","369"
"2023-05","충남 서천군","33"
"2023-05","충남 아산시","359"
"2023-05","충남 예산군","101"
"2023-05","충남 천안시","549"
"2023-05","충남 청양군","6"
"2023-05","충남 태안군","109"
"2023-05","충남 홍성군","286"
"2023-05","충북 괴산군","81"
"2023-05","충북 보은군","60"
"2023-05","충북 영동군","83"
"2023-05","충북 옥천군","65"
"2023-05","충북 음성군","60"
"2023-05","충북 제천시","325"
"2023-05","충북 증평군","38"
"2023-05","충북 진천군","66"
"2023-05","충북 청주시","1044"
"2023-05","충북 충주시","387"
"2023-06","강원도 강릉시","705"
"2023-06","강원도 고성군","21"
"2023-06","강원도 동해시","89"
"2023-06","강원도 삼척시","87"
"2023-06","강원도 속초시","183"
"2023-06","강원도 양구군","29"
"2023-06","강원도 양양군","70"
"2023-06","강원도 영월군","72"
"2023-06","강원도 원주시","1106"
"2023-06","강원도 인제군","41"
"2023-06","강원도 정선군","38"
"2023-06","강원도 철원군","117"
"2023-06","강원도 춘천시","981"
"2023-06","강원도 태백시","81"
"2023-06","강원도 평창군","15"
"2023-06","강원도 홍천군","98"
"2023-06","강원도 화천군","17"
